[27-Nov-2024 19:22:36 UTC] PHP Warning:  Undefined array key 1 in C:\Users\User\Local Sites\ilorinchurch\app\public\wp-content\plugins\wordpress-importer\parsers\class-wxr-parser-regex.php on line 65
[27-Nov-2024 19:22:37 UTC] PHP Warning:  Undefined array key 1 in C:\Users\User\Local Sites\ilorinchurch\app\public\wp-content\plugins\wordpress-importer\parsers\class-wxr-parser-regex.php on line 65
[27-Nov-2024 19:22:37 UTC] PHP Warning:  Undefined array key 1 in C:\Users\User\Local Sites\ilorinchurch\app\public\wp-content\plugins\wordpress-importer\parsers\class-wxr-parser-regex.php on line 51
[27-Nov-2024 19:22:37 UTC] PHP Warning:  Undefined array key 1 in C:\Users\User\Local Sites\ilorinchurch\app\public\wp-content\plugins\wordpress-importer\parsers\class-wxr-parser-regex.php on line 57
[27-Nov-2024 19:22:37 UTC] PHP Warning:  Undefined array key 1 in C:\Users\User\Local Sites\ilorinchurch\app\public\wp-content\plugins\wordpress-importer\parsers\class-wxr-parser-regex.php on line 65
[27-Nov-2024 19:23:26 UTC] PHP Warning:  Undefined array key 1 in C:\Users\User\Local Sites\ilorinchurch\app\public\wp-content\plugins\wordpress-importer\parsers\class-wxr-parser-regex.php on line 65
[27-Nov-2024 19:23:27 UTC] PHP Warning:  Undefined array key 1 in C:\Users\User\Local Sites\ilorinchurch\app\public\wp-content\plugins\wordpress-importer\parsers\class-wxr-parser-regex.php on line 65
[27-Nov-2024 19:23:27 UTC] PHP Warning:  Undefined array key 1 in C:\Users\User\Local Sites\ilorinchurch\app\public\wp-content\plugins\wordpress-importer\parsers\class-wxr-parser-regex.php on line 51
[27-Nov-2024 19:23:27 UTC] PHP Warning:  Undefined array key 1 in C:\Users\User\Local Sites\ilorinchurch\app\public\wp-content\plugins\wordpress-importer\parsers\class-wxr-parser-regex.php on line 57
[27-Nov-2024 19:23:27 UTC] PHP Warning:  Undefined array key 1 in C:\Users\User\Local Sites\ilorinchurch\app\public\wp-content\plugins\wordpress-importer\parsers\class-wxr-parser-regex.php on line 65
[29-Nov-2024 05:36:51 UTC] PHP Warning:  Attempt to read property "ID" on bool in C:\Program Files (x86)\Local\resources\extraResources\local-bootstrap.php on line 32
[29-Nov-2024 05:36:51 UTC] PHP Warning:  Attempt to read property "ID" on bool in C:\Program Files (x86)\Local\resources\extraResources\local-bootstrap.php on line 33
[29-Nov-2024 05:36:51 UTC] PHP Warning:  Attempt to read property "user_login" on bool in C:\Program Files (x86)\Local\resources\extraResources\local-bootstrap.php on line 35
[29-Nov-2024 10:06:35 UTC] PHP Warning:  Attempt to read property "ID" on bool in C:\Program Files (x86)\Local\resources\extraResources\local-bootstrap.php on line 32
[29-Nov-2024 10:06:35 UTC] PHP Warning:  Attempt to read property "ID" on bool in C:\Program Files (x86)\Local\resources\extraResources\local-bootstrap.php on line 33
[29-Nov-2024 10:06:35 UTC] PHP Warning:  Attempt to read property "user_login" on bool in C:\Program Files (x86)\Local\resources\extraResources\local-bootstrap.php on line 35
[29-Nov-2024 21:18:14 UTC] PHP Warning:  Undefined array key "editor_post_id" in C:\Users\User\Local Sites\ilorinchurch\app\public\wp-content\plugins\elementor-pro\modules\theme-builder\classes\conditions-manager.php on line 179
[29-Nov-2024 21:40:00 UTC] PHP Warning:  Undefined array key "editor_post_id" in C:\Users\User\Local Sites\ilorinchurch\app\public\wp-content\plugins\elementor-pro\modules\theme-builder\classes\conditions-manager.php on line 179
[30-Nov-2024 14:01:11 UTC] PHP Warning:  Attempt to read property "ID" on bool in C:\Program Files (x86)\Local\resources\extraResources\local-bootstrap.php on line 32
[30-Nov-2024 14:01:11 UTC] PHP Warning:  Attempt to read property "ID" on bool in C:\Program Files (x86)\Local\resources\extraResources\local-bootstrap.php on line 33
[30-Nov-2024 14:01:11 UTC] PHP Warning:  Attempt to read property "user_login" on bool in C:\Program Files (x86)\Local\resources\extraResources\local-bootstrap.php on line 35
[30-Nov-2024 17:05:36 UTC] PHP Warning:  Attempt to read property "ID" on bool in C:\Program Files (x86)\Local\resources\extraResources\local-bootstrap.php on line 32
[30-Nov-2024 17:05:36 UTC] PHP Warning:  Attempt to read property "ID" on bool in C:\Program Files (x86)\Local\resources\extraResources\local-bootstrap.php on line 33
[30-Nov-2024 17:05:36 UTC] PHP Warning:  Attempt to read property "user_login" on bool in C:\Program Files (x86)\Local\resources\extraResources\local-bootstrap.php on line 35
[30-Nov-2024 17:43:48 UTC] PHP Warning:  Undefined array key "editor_post_id" in C:\Users\User\Local Sites\ilorinchurch\app\public\wp-content\plugins\elementor-pro\modules\theme-builder\classes\conditions-manager.php on line 179
[02-Dec-2024 20:32:20 UTC] PHP Warning:  Attempt to read property "ID" on bool in C:\Program Files (x86)\Local\resources\extraResources\local-bootstrap.php on line 32
[02-Dec-2024 20:32:20 UTC] PHP Warning:  Attempt to read property "ID" on bool in C:\Program Files (x86)\Local\resources\extraResources\local-bootstrap.php on line 33
[02-Dec-2024 20:32:20 UTC] PHP Warning:  Attempt to read property "user_login" on bool in C:\Program Files (x86)\Local\resources\extraResources\local-bootstrap.php on line 35
[02-Dec-2024 21:44:46 UTC] PHP Warning:  Attempt to read property "ID" on bool in C:\Program Files (x86)\Local\resources\extraResources\local-bootstrap.php on line 32
[02-Dec-2024 21:44:46 UTC] PHP Warning:  Attempt to read property "ID" on bool in C:\Program Files (x86)\Local\resources\extraResources\local-bootstrap.php on line 33
[02-Dec-2024 21:44:46 UTC] PHP Warning:  Attempt to read property "user_login" on bool in C:\Program Files (x86)\Local\resources\extraResources\local-bootstrap.php on line 35
